Barcode_name,CI_Catelogies,AIM_ID,Enable,Prefix,Suffix,Pre_labelID,Suf_labelID,Check_digit,Length,Barcode_type,Check_transmission,Addon2,Addon5,Addon8,Start_stop,Extend_UPCA,Extend_EAN13,Extend_Code39
DigiMarc,DIGIMARC,,false,,,+,,,,,,false,false,,,,,
Code128,CODE128,,true,,,T,,,,,,false,false,,,,,
Code128SubsetA,Code128SubsetA,,,,,,,,,,,false,false,,,,,
Code128SubsetB,Code128SubsetB,,,,,,,,,,,false,false,,,,,
Code128SubsetC,Code128SubsetC,,,,,,,,,,,false,false,,,,,
Code2of5Standard,S25,,false,,,P,,0x00,,,true,false,false,,,,,
Code2of5Matrix,MATRIX,,false,,,,,0x00,,,true,false,false,,,,,
Code2of5DataLogic,DATALOGIC,,false,,,,,0x00,,,true,false,false,,,,,
Code2of5IATA,IATA,,false,,,&,,,,,true,false,false,,,,,
Code2of5Industrial,INDUSTRIAL,,false,,,,,0x00,,,true,false,false,,,,,
Code2of5Interleaved,I2OF5,,false,,,N,,0x00,,,true,false,false,,,,,
Code2of5Follett,FOLLETT,,false,,,,,,,,,false,false,,,,,
Code2of5Compressed,COMPRESSED,,false,,,,,0x00,,,true,false,false,,,,,
EAN128,EAN128,,true,,,k,,,,,,false,false,,,,,
GS1_128,GS1_128,,,,,,,,,,,false,false,,,,,
EAN128_CK,EAN128_CK,,true,,,,,,,,,false,false,,,,,
GS1_128_CK,GS1_128_CK,,,,,,,,,,,false,false,,,,,
UPCA,UPCA,,true,,,C,,0x01,,,true,false,false,,,,,
UPCA_AddOn2,UPCA_P2,,true,,,F,,,,,true,true,false,,,,,
UPCA_AddOn5,UPCA_P5,,true,,,G,,,,,true,false,true,,,,,
UPCA_AddOn8,UPCA_P8,,true,,,,,,,,true,false,false,,,,,
UPCA_Coupon,COUPON,,,,,,,,,,,false,false,,,,,
UPCE,UPCE,,true,,,D,,0x01,,,true,false,false,,,,,
UPCE_AddOn2,UPCE_P2,,true,,,H,,,,,true,true,false,,,,,
UPCE_AddOn5,UPCE_P5,,true,,,I,,,,,true,false,true,,,,,
UPCE_AddOn8,UPCE_P8,,true,,,,,,,,true,false,false,,,,,
EAN8,EAN8,,true,,,A,,,,,true,false,false,,,,,
EAN8_AddOn2,EAN8_P2,,true,,,J,,,,,true,true,false,,,,,
EAN8_AddOn5,EAN8_P5,,true,,,K,,,,,true,false,true,,,,,
EAN8_AddOn8,EAN8_P8,,true,,,,,,,,true,false,false,,,,,
EAN13,EAN13,,true,,,B,,,,,true,false,false,,,,,
EAN13_AddOn2,EAN13_P2,,true,,,L,,,,,true,true,false,,,,,
EAN13_AddOn5,EAN13_P5,,true,,,M,,,,,true,false,true,,,,,
EAN13_AddOn8,EAN13_P8,,true,,,,,,,,true,false,false,,,,,
ISBN13,ISBN13,,,,,,,,,,,false,false,,,,,
ISBN13_AddOn5,ISBN13_P5,,,,,,,,,,,false,true,,,,,
ISSN,ISSN,,,,,n,,,,,,false,false,,,,,
ISSN_AddOn2,ISSN_P2,,,,,,,,,,,true,false,,,,,
Code39,CODE39,,false,,,V,,0x00,,,true,false,false,,,,,
Code32,CODE32,,false,,,,,,,,,false,false,,,,,
Code39_FullASCII,CODE39_FULL_ASCII,,false,,,,,0x00,,,true,false,false,,,,,
Code39_Danish,CODE39_DANISH_PPT,,false,,,$Y,,0x00,,,true,false,false,,,,,
Code39_Laposte,CODE39_LAPOSTE,,false,,,$a,,0x00,,,true,false,false,,,,,
Code39_PZN,CODE39_PZN,,false,,,$Z,,0x00,,,true,false,false,,,,,
Code39_CIP,CIP,,false,,,,,,,,,false,false,,,,,
Code39_TriOptic,TRIOPTIC,,false,,,$T,,,,,,false,false,,,,,
Code93,C93,,false,,,,,,,,,false,false,,,,,
Code93_FullASCII,Code93_FullASCII,,,,,,,,,,,false,false,,,,,
Code11,Code11,,,,,,,,,,,false,false,,,,,
Code11_CK1,Code11_CK1,,,,,,,,,,,false,false,,,,,
Code11_CK2,Code11_CK2,,,,,,,,,,,false,false,,,,,
MSI,MSI,,false,,,Z,,0x01,,,true,false,false,,,,,
MSI_CK1,MSI_CK1,,false,,,,,0x01,,,true,false,false,,,,,
MSI_CK2,MSI_CK2,,false,,,,,0x01,,,true,false,false,,,,,
Codabar,Codabar,,,,,,,,,,,false,false,,,,,
ABCCodabar,ABCCodabar,,,,,,,,,,,false,false,,,,,
QRCode,QRCODE,,true,,,y,,,,,,false,false,,,,,
QRCode_GS1,QRCode_GS1,,,,,,,,,,,false,false,,,,,
Datamatrix,DATAMATRIX,,true,,,w,,0x00,,,true,false,false,,,,,
Datamatrix_GS1,Datamatrix_GS1,,,,,,,,,,,false,false,,,,,
Code128_Industrial,Code128_Industrial,,,,,,,,,,,false,false,,,,,
"ISBT_Pair ",ISBT128,,,,,f,,,,,,false,false,,,,,
ISBT,ISBT128,,,,,f,,,,,,false,false,,,,,
Aztec,AZTEC,,true,,,!,,,,,,false,false,,,,,
CodeTLC39,TLC39,,false,,,$v,,,,,,false,false,,,,,
BC412,BC412,,false,,,9,,0x01,,,true,false,false,,,,,
ChineseCode,CHINA,,false,,,,,,,,,false,false,,,,,
DOTCODE,DOTCODE,,false,,,$d,,,,,,false,false,,,,,
MicroPDF417,MICRO,,false,,,,,,,,,false,false,,,,,
MicroQRCode,MICROQR,,false,,,$Q,,,,,,false,false,,,,,
MaxiCode,MAXICODE,,false,,,x,,,,,,false,false,,,,,
OCRCode,OCR,,,,,,,,,,,false,false,,,,,
PDF417,PDF417,,true,,,r,,,,,,false,false,,,,,
Postnet,POSTNET,,,,,$L,,,,,,false,false,,,,,
Postal,POSTAL,,false,,,,,,,,,false,false,,,,,
DigiMarc,DIGIMARC,,false,,,+,,,,,,false,false,,,,,
Pharmacode,PHARMACODE,,false,,,^p,,,,,,false,false,,,,,
AnkerPlessey,ANKER,,,,,,,,,,,false,false,,,,,
